Country,Advisory Level
Turkey,Level 2: Exercise Increased Caution
The Gambia,Level 2: Exercise Increased Caution
Egypt,Level 3: Reconsider Travel
Canada,Level 1: Exercise Normal Precautions
Rwanda,Level 3: Reconsider Travel
Mexico,Level 3: Reconsider Travel
Republic of the Congo,Level 2: Exercise Increased Caution
Sri Lanka,Level 2: Exercise Increased Caution
Lebanon,Level 4: Do Not Travel
Uzbekistan,Level 1: Exercise Normal Precautions
Algeria,Level 2: Exercise Increased Caution
Sao Tome and Principe,Level 1: Exercise Normal Precautions
Venezuela,Level 4: Do Not Travel
Panama,Level 2: Exercise Increased Caution
Sierra Leone,Level 2: Exercise Increased Caution
Cabo Verde,Level 1: Exercise Normal Precautions
Angola,Level 2: Exercise Increased Caution
Argentina,Level 1: Exercise Normal Precautions
Moldova,Level 2: Exercise Increased Caution
Haiti,Level 4: Do Not Travel
Lesotho,Level 2: Exercise Increased Caution
Kingdom of Denmark,Level 2: Exercise Increased Caution
Italy,Level 2: Exercise Increased Caution
Jordan,Level 2: Exercise Increased Caution
Guyana,Level 3: Reconsider Travel
Bangladesh,Level 3: Reconsider Travel
Pakistan,Level 3: Reconsider Travel
Bahrain,Level 2: Exercise Increased Caution
Saudi Arabia,Level 2: Exercise Increased Caution
United Kingdom,Level 2: Exercise Increased Caution
Tanzania,Level 2: Exercise Increased Caution
Cayman Islands,Level 1: Exercise Normal Precautions
Seychelles,Level 1: Exercise Normal Precautions
Mauritius,Level 1: Exercise Normal Precautions
Ireland,Level 1: Exercise Normal Precautions
Latvia,Level 1: Exercise Normal Precautions
Austria,Level 1: Exercise Normal Precautions
Saint Lucia,Level 1: Exercise Normal Precautions
Saint Kitts and Nevis,Level 1: Exercise Normal Precautions
Montserrat,Level 1: Exercise Normal Precautions
French West Indies,Level 1: Exercise Normal Precautions
Dominica,Level 1: Exercise Normal Precautions
British Virgin Islands,Level 1: Exercise Normal Precautions
Barbados,Level 1: Exercise Normal Precautions
Antigua and Barbuda,Level 1: Exercise Normal Precautions
Anguilla,Level 1: Exercise Normal Precautions
Iceland,Level 1: Exercise Normal Precautions
Hungary,Level 1: Exercise Normal Precautions
Sint Maarten,Level 1: Exercise Normal Precautions
Curaçao,Level 1: Exercise Normal Precautions
Saba,Level 1: Exercise Normal Precautions
Sint Eustatius,Level 1: Exercise Normal Precautions
Aruba,Level 1: Exercise Normal Precautions
Bonaire,Level 1: Exercise Normal Precautions
Romania,Level 1: Exercise Normal Precautions
Bulgaria,Level 1: Exercise Normal Precautions
Greece,Level 1: Exercise Normal Precautions
Croatia,Level 1: Exercise Normal Precautions
Iran,Level 4: Do Not Travel
Lithuania,Level 1: Exercise Normal Precautions
Netherlands,Level 2: Exercise Increased Caution
Finland,Level 1: Exercise Normal Precautions
Palau,Level 1: Exercise Normal Precautions
Kazakhstan,Level 1: Exercise Normal Precautions
Kenya,Level 2: Exercise Increased Caution
Libya,Level 4: Do Not Travel
See Individual Summaries -,
Guinea-Bissau,Level 3: Reconsider Travel
Taiwan,Level 1: Exercise Normal Precautions
Afghanistan,Level 4: Do Not Travel
Slovenia,Level 1: Exercise Normal Precautions
Jamaica,Level 3: Reconsider Travel
Sweden,Level 2: Exercise Increased Caution
Malaysia,Level 1: Exercise Normal Precautions
India,Level 2: Exercise Increased Caution
Somalia,Level 4: Do Not Travel
